Gene stable ID	HGNC symbol	GO term name	miRBase accession	Karyotype band	GO term accession
ENSG00000141433	ADCYAP1	regulation of protein phosphorylation		p11.32	GO:0001932
ENSG00000141433	ADCYAP1	negative regulation of acute inflammatory response to antigenic stimulus		p11.32	GO:0002865
ENSG00000141433	ADCYAP1	negative regulation of acute inflammatory response to non-antigenic stimulus		p11.32	GO:0002878
ENSG00000141433	ADCYAP1	positive regulation of cell population proliferation		p11.32	GO:0008284
ENSG00000141433	ADCYAP1	positive regulation of gene expression		p11.32	GO:0010628
ENSG00000141433	ADCYAP1	negative regulation of muscle cell apoptotic process		p11.32	GO:0010656
ENSG00000141433	ADCYAP1	positive regulation of neuron projection development		p11.32	GO:0010976
ENSG00000141433	ADCYAP1	sensory perception of pain		p11.32	GO:0019233
ENSG00000141433	ADCYAP1	pituitary gland development		p11.32	GO:0021983
ENSG00000141433	ADCYAP1	positive regulation of interleukin-6 production		p11.32	GO:0032755
ENSG00000141433	ADCYAP1	negative regulation of GTPase activity		p11.32	GO:0034260
ENSG00000141433	ADCYAP1	response to starvation		p11.32	GO:0042594
ENSG00000141433	ADCYAP1	negative regulation of potassium ion transport		p11.32	GO:0043267
ENSG00000141433	ADCYAP1	positive regulation of cAMP-mediated signaling		p11.32	GO:0043950
ENSG00000141433	ADCYAP1	response to ethanol		p11.32	GO:0045471
ENSG00000141433	ADCYAP1	negative regulation of cell cycle		p11.32	GO:0045786
ENSG00000141433	ADCYAP1	ATP metabolic process		p11.32	GO:0046034
ENSG00000141433	ADCYAP1	positive regulation of synaptic transmission, glutamatergic		p11.32	GO:0051968
ENSG00000141433	ADCYAP1	regulation of postsynaptic membrane potential		p11.32	GO:0060078
ENSG00000141433	ADCYAP1	negative regulation of glial cell proliferation		p11.32	GO:0060253
ENSG00000141433	ADCYAP1	regulation of oligodendrocyte progenitor proliferation		p11.32	GO:0070445
ENSG00000141433	ADCYAP1	cellular response to glucocorticoid stimulus		p11.32	GO:0071385
ENSG00000141433	ADCYAP1	positive regulation of somatostatin secretion		p11.32	GO:0090274
ENSG00000141433	ADCYAP1	positive regulation of blood vessel diameter		p11.32	GO:0097755
ENSG00000141433	ADCYAP1	extracellular space		p11.32	GO:0005615
ENSG00000141433	ADCYAP1	terminal bouton		p11.32	GO:0043195
ENSG00000141433	ADCYAP1			p11.32	
ENSG00000259837	LINC01904			p11.32	
ENSG00000272461				p11.32	
ENSG00000263551				p11.32	
ENSG00000263505	SLC25A3P3			p11.32	
ENSG00000266251	COX6CP3			p11.32	
ENSG00000132204	LINC00470			p11.32	
ENSG00000199197	RN7SKP72			p11.32	
ENSG00000263396				p11.32	
ENSG00000265417				p11.32	
ENSG00000266602				p11.32	
ENSG00000266450				p11.32	
ENSG00000264080				p11.32	
ENSG00000263745				p11.32	
ENSG00000264189	AIDAP3			p11.32	
ENSG00000286975				p11.32	
ENSG00000101574	METTL4	nucleic acid binding		p11.32	GO:0003676
ENSG00000101574	METTL4	methyltransferase activity		p11.32	GO:0008168
ENSG00000101574	METTL4	methylation		p11.32	GO:0032259
ENSG00000101574	METTL4			p11.32	
ENSG00000101574	METTL4	nucleus		p11.32	GO:0005634
ENSG00000101574	METTL4	cytoplasm		p11.32	GO:0005737
ENSG00000101574	METTL4	transferase activity		p11.32	GO:0016740
ENSG00000101574	METTL4	mitochondrion		p11.32	GO:0005739
ENSG00000101574	METTL4	mitochondrial matrix		p11.32	GO:0005759
ENSG00000101574	METTL4	chromatin organization		p11.32	GO:0006325
ENSG00000101574	METTL4	cytosol		p11.32	GO:0005829
ENSG00000101574	METTL4	RNA methylation		p11.32	GO:0001510
ENSG00000101574	METTL4	regulation of RNA splicing		p11.32	GO:0043484
ENSG00000101574	METTL4	regulation of chromatin organization		p11.32	GO:1902275
ENSG00000101574	METTL4	RNA methyltransferase activity		p11.32	GO:0008173
ENSG00000101574	METTL4	snRNA (adenine-N6)-methylation		p11.32	GO:0120049
ENSG00000101574	METTL4	site-specific DNA-methyltransferase (adenine-specific) activity		p11.32	GO:0009007
ENSG00000101574	METTL4	DNA methylation on adenine		p11.32	GO:0032775
ENSG00000101574	METTL4	regulation of mitochondrial DNA replication		p11.32	GO:0090296
ENSG00000101574	METTL4	regulation of mitochondrial transcription		p11.32	GO:1903108
ENSG00000238575				p11.32	
ENSG00000266783				p11.32	
ENSG00000264150				p11.32	
ENSG00000080986	NDC80	Ndc80 complex		p11.32	GO:0031262
ENSG00000080986	NDC80	attachment of mitotic spindle microtubules to kinetochore		p11.32	GO:0051315
ENSG00000080986	NDC80	nucleus		p11.32	GO:0005634
ENSG00000080986	NDC80	membrane		p11.32	GO:0016020
ENSG00000080986	NDC80	cell cycle		p11.32	GO:0007049
ENSG00000080986	NDC80	nucleoplasm		p11.32	GO:0005654
ENSG00000080986	NDC80	cell division		p11.32	GO:0051301
ENSG00000080986	NDC80	chromosome		p11.32	GO:0005694
ENSG00000080986	NDC80	centrosome		p11.32	GO:0005813
ENSG00000080986	NDC80	protein binding		p11.32	GO:0005515
ENSG00000080986	NDC80	chromosome segregation		p11.32	GO:0007059
ENSG00000080986	NDC80	chromosome, centromeric region		p11.32	GO:0000775
ENSG00000080986	NDC80	kinetochore		p11.32	GO:0000776
ENSG00000080986	NDC80	condensed chromosome kinetochore		p11.32	GO:0000777
ENSG00000080986	NDC80	identical protein binding		p11.32	GO:0042802
ENSG00000080986	NDC80	cytosol		p11.32	GO:0005829
ENSG00000080986	NDC80	cyclin binding		p11.32	GO:0030332
ENSG00000080986	NDC80	spindle assembly involved in female meiosis I		p11.32	GO:0007057
ENSG00000080986	NDC80	G2/MI transition of meiotic cell cycle		p11.32	GO:0008315
ENSG00000080986	NDC80	regulation of protein stability		p11.32	GO:0031647
ENSG00000080986	NDC80	kinetochore organization		p11.32	GO:0051383
ENSG00000080986	NDC80	cytoplasm		p11.32	GO:0005737
ENSG00000080986	NDC80	mitotic spindle organization		p11.32	GO:0007052
ENSG00000080986	NDC80	mitotic sister chromatid segregation		p11.32	GO:0000070
ENSG00000080986	NDC80	establishment of mitotic spindle orientation		p11.32	GO:0000132
ENSG00000080986	NDC80	mitotic cell cycle		p11.32	GO:0000278
ENSG00000080986	NDC80	attachment of spindle microtubules to kinetochore		p11.32	GO:0008608
ENSG00000080986	NDC80	centrosome duplication		p11.32	GO:0051298
ENSG00000080986	NDC80	metaphase plate congression		p11.32	GO:0051310
ENSG00000080986	NDC80	positive regulation of mitotic cell cycle spindle assembly checkpoint		p11.32	GO:0090267
ENSG00000080986	NDC80	positive regulation of protein localization to kinetochore		p11.32	GO:1905342
ENSG00000080986	NDC80	condensed nuclear chromosome kinetochore		p11.32	GO:0000778
ENSG00000080986	NDC80	condensed nuclear chromosome outer kinetochore		p11.32	GO:0000942
ENSG00000080986	NDC80			p11.32	
ENSG00000235422	KATNBL1P3			p11.32	
ENSG00000202224				p11.32	
ENSG00000200875	RNU6-340P			p11.32	
ENSG00000266405	CBX3P2			p11.32	
ENSG00000101596	SMCHD1	ATP binding		p11.32	GO:0005524
ENSG00000101596	SMCHD1	protein binding		p11.32	GO:0005515
ENSG00000101596	SMCHD1	chromosome		p11.32	GO:0005694
ENSG00000101596	SMCHD1	double-strand break repair		p11.32	GO:0006302
ENSG00000101596	SMCHD1	chromosome organization		p11.32	GO:0051276
ENSG00000101596	SMCHD1	hydrolase activity		p11.32	GO:0016787
ENSG00000101596	SMCHD1	DNA binding		p11.32	GO:0003677
ENSG00000101596	SMCHD1	chromatin organization		p11.32	GO:0006325
ENSG00000101596	SMCHD1	DNA repair		p11.32	GO:0006281
ENSG00000101596	SMCHD1	cellular response to DNA damage stimulus		p11.32	GO:0006974
ENSG00000101596	SMCHD1	protein homodimerization activity		p11.32	GO:0042803
ENSG00000101596	SMCHD1	ATPase activity		p11.32	GO:0016887
ENSG00000101596	SMCHD1	nuclear chromosome, telomeric region		p11.32	GO:0000784
